"uscode","naics","lfo","empflag","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","f1_4","e1_4nf","e1_4","q1_4nf","q1_4","a1_4nf","a1_4","n1_4","f5_9","e5_9nf","e5_9","q5_9nf","q5_9","a5_9nf","a5_9","n5_9","f10_19","e10_19nf","e10_19","q10_19nf","q10_19","a10_19nf","a10_19","n10_19","f20_49","e20_49nf","e20_49","q20_49nf","q20_49","a20_49nf","a20_49","n20_49","f50_99","e50_99nf","e50_99","q50_99nf","q50_99","a50_99nf","a50_99","n50_99","f100_249","e100_249nf","e100_249","q100_249nf","q100_249","a100_249nf","a100_249","n100_249","f250_499","e250_499nf","e250_499","q250_499nf","q250_499","a250_499nf","a250_499","n250_499","f500_999","e500_999nf","e500_999","q500_999nf","q500_999","a500_999nf","a500_999","n500_999","f1000","e1000nf","e1000","q1000nf","q1000","a1000nf","a1000","n1000"
"98","31214/","Z",,"G",1015,"G",14721,"G",60193,65,,"H",64,"H",427,"G",2580,41,"B","D",0,"D",0,"D",0,8,,"G",134,"G",973,"G",4540,9,"B","D",0,"D",0,"D",0,2,"C","D",0,"D",0,"D",0,2,,"G",584,"G",10359,"G",40148,3,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0
"98","31214/","S","B","S",0,"G",156,"G",870,13,"A","S",0,"G",88,"G",539,11,"A","D",0,"D",0,"D",0,2,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0
"98","31214/","P",,"G",745,"G",6964,"G",30967,96,,"H",85,"G",662,"H",4002,57,,"G",121,"H",1050,"G",4616,17,,"H",168,"G",1306,"G",5348,13,,"H",222,"H",1819,"H",7844,7,"C","D",0,"D",0,"D",0,2,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0
"98","31214/","O","A","D",0,"D",0,"D",0,1,,"G",0,"G",0,"G",0,0,"A","D",0,"D",0,"D",0,1,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0
"98","312140","-",,"G",6920,"G",97759,"G",416132,249,,"G",193,"G",1372,"G",8351,131,,"G",247,"G",2544,"G",10968,35,,"H",452,"G",4195,"H",17907,33,,"G",619,"G",6373,"G",27444,21,,"H",686,"H",8775,"H",37441,9,,"G",1902,"G",29156,"G",114114,11,,"H",2821,"H",45344,"H",199907,9,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0
"98","312140","C",,"G",5128,"H",75874,"H",323919,74,"B","S",0,"G",195,"G",1230,22,,"H",48,"G",478,"G",2095,7,,"H",150,"H",1916,"H",8019,11,,"G",342,"H",3929,"H",16835,12,"E","D",0,"D",0,"D",0,5,,"H",1318,"H",18797,"H",73966,8,,"H",2821,"H",45344,"H",199907,9,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0
"98","312140","Z",,"G",1015,"G",14721,"G",60193,65,,"H",64,"H",427,"G",2580,41,"B","D",0,"D",0,"D",0,8,,"G",134,"G",973,"G",4540,9,"B","D",0,"D",0,"D",0,2,"C","D",0,"D",0,"D",0,2,,"G",584,"G",10359,"G",40148,3,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0
"98","312140","S","B","S",0,"G",156,"G",870,13,"A","S",0,"G",88,"G",539,11,"A","D",0,"D",0,"D",0,2,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0
"98","312140","P",,"G",745,"G",6964,"G",30967,96,,"H",85,"G",662,"H",4002,57,,"G",121,"H",1050,"G",4616,17,,"H",168,"G",1306,"G",5348,13,,"H",222,"H",1819,"H",7844,7,"C","D",0,"D",0,"D",0,2,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0
"98","312140","O","A","D",0,"D",0,"D",0,1,,"G",0,"G",0,"G",0,0,"A","D",0,"D",0,"D",0,1,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0
